GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,BusinessApiException,23,0,0,0,9,0,5,0,5,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,PageableRequest,32,0,6,0,6,0,9,0,6,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,NoStockException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,SortRequest,163,0,14,0,38,0,27,0,20,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,ChunkResponse,153,0,24,0,29,0,27,0,15,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,PageResponseImpl,192,0,24,0,30,0,24,0,12,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,CreateCartException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,SliceResponse,26,0,4,0,3,0,5,0,3,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,JacksonPageableRequestImpl,6,0,0,0,2,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,StockTimeOutException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,NotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,SortRequest.Order,261,0,24,0,50,0,36,0,24,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,JacksonPageImpl,6,0,0,0,2,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,AbstractPageableRequest,105,0,18,0,24,0,17,0,8,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,SortRequest.NullHandling,21,0,0,0,4,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,SortRequest.Direction,49,0,0,0,12,0,5,0,5,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,PageResponse,10,0,0,0,2,0,2,0,2,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,UnpagedRequest,41,0,2,0,14,0,12,0,11,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model,PageableRequestImpl,159,0,10,0,26,0,20,0,15,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model.cart,InsertCartRequest,4,0,0,0,1,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model.cart,InsertCartResponse,0,4,0,0,0,1,0,1,0,1
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model.cart,InsertOrderResponse,4,0,0,0,1,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders.model.exception,GenericExceptionTracker,18,0,0,0,7,0,1,0,1,0
Aggregated Reports/orders-service-api,io.oigres.ecomm.service.orders,OrderStatusEnumApi,36,0,0,0,7,0,2,0,2,0
